Instances,smodels/default-n1,claspInternal/crafted-n1,cmodels/default-n1
ASPExtended/ASP-Comp-2009-Lparse/CompHierarchicalClustering/xy.10.x.10.r.3.1268203948.99614.data_k=2_l=5_sat.gph.gz,900,0.0499289,1.44293
ASPExtended/ASP-Comp-2011-Lparse/20-Numberlink/9-numberlink-0-0.asp.gz,1.40593,0.25721,20.8618
ASPExtended/hardwareASP/hard_inst_12_6_20395.gr.gz,900,900,158.41
ASPExtended/planning/comm/p05.lp-31-558.sm.gz,900,361.754,68.325
ASPExtended/SocialGolfer/csp010-SocialGolfer_w3_g5_s3.dlv.dat.lp.lp.gz,0.0758951,0.023807,0.0887199
ASPExtended/ggp/brain_teaser_extended.gdlclingo.pl.gr.gz,84.2639,0.215128,1.18708
ASPExtended/hardwareASP/hard_inst_11_6_12999.gr.gz,900,900,107.343
ASPExtended/ASP-Comp-2009-Lparse/CompHanoi/mgs_towers-hanoi.87_7.gz,900,19.224,2.65591
ASPExtended/ASP-Comp-2009-Lparse/CompSudoku/sudoku.in8.gz,0.220552,0.243925,3.82145
ASPExtended/Sokoban-Hard/handmade_soko034.lp-13-207.sm.gz,900,89.3971,16.7651
ASPExtended/hardwareASP/hard_inst_6_7_22666.gr.gz,900,900,10.8485
ASPExtended/ASP-Comp-2009-Lparse/CompWeightBoundedDominatingSet/rand_200_800_1159728969_6.lp.gz,900,900,900
ASPExtended/planning/comm/p17.lp-45-292.sm.gz,900,50.4648,900
ASPExtended/pigeon/instance_p13h12.lp.sm.gz,900,900,900
ASPExtended/ggp/slidingpieces.gdlclingo.pl.gr.gz,2.13389,1.63836,2.53888
ASPExtended/laby/laby_16_16_02.lp.gz,900,900,900
ASPExtended/graph_colouring/graph-colouring-nodes=150-density=0.1-instance=3.sm.gz,900,900,900
ASPExtended/planning/dispose/p02_07.lp-18-5600.sm.gz,900,900,3.8719
ASPExtended/ggp/buttons.gdlclingo.pl.gr.gz,0.0113751,0.0216549,0.0436891
ASPExtended/ASP-Comp-2011-Lparse/12-KnightTour/03-knight_tour-12-0.asp.gz,1.15748,0.400361,0.432202
ASPExtended/benchmarks/puzzle-hard.lp.gz,0.063224,0.0316681,0.0961861
ASPExtended/ASP-Comp-2009-Lparse/CompWeightBoundedDominatingSet/rand_100_400_1159666138_9.lp.gz,900,289.364,253.109
ASPExtended/laby/laby_13_13_02.lp.gz,900,97.0984,900
ASPExtended/WeightedSpanningTree/206_rand_32_145_1872949941_0.gph.lp.gz,14.1907,0.375715,1.51075
ASPExtended/Sokoban-Hard/handmade_soko029.lp-33-20100.sm.gz,900,900,900
ASPExtended/SocialGolfer/csp010-SocialGolfer_w8_g5_s6.dlv.dat.lp.lp.gz,900,900,900
ASPExtended/LTL-BMC/dp_10.formula1-i-O2-b12.sm.gz,82.5251,0.992131,6.11684
ASPExtended/ASP-Comp-2007-Lparse/SLparse/WeightedSpanningTree/209_rand_45_138_1119567351_0.gph.gz,25.5971,0.852978,3.82131
ASPExtended/SchurCompetition/20.8.schur.lp.gz,900,4.67999,12.0694
ASPExtended/hardwareASP/hard_inst_5_12_16376.gr.gz,900,900,8.97341
ASPExtended/hardwareASP/hard_inst_8_12_10995.gr.gz,900,900,55.2985
ASPExtended/ASP-Comp-2009-Lparse/CompLabyrinth/laby_22_22_11.lp.gz,900,3.3041,83.3408
ASPExtended/HamiltonClumpy/20/clumpy-20x20_03.sm.gz,900,0.227702,178.82
ASPExtended/CarSequencing/benchmark2_15classes.dlv.dat.lp.lp.gz,900,900,900
ASPExtended/ASP-Comp-2009-Lparse/CompKnightTour/knightTour.in4.gz,0.811761,0.0411599,0.436779
ASPExtended/SocialGolfer/csp010-SocialGolfer_w4_g2_s2.dlv.dat.lp.lp.gz,0.0212621,0.00672409,0.016094
ASPExtended/ggp/asteroidsparallel.gdlclingo.pl.gr.gz,900,146.019,2.23622
ASPExtended/coala/blocksworld/coala_b15_22.lparse.gz,900,900,273.791
ASPExtended/LTL-BMC/dp_12.formula1-s-O2-b10.sm.gz,307.871,0.14682,0.991077
ASPExtended/laby/laby_10_10_08.lp.gz,42.6916,2.62046,25.8657
ASPExtended/ASP-Comp-2009-Lparse/CompSolitaire/solitaire-center-time=24.gz,10.8116,0.133195,0.739971
ASPExtended/Sokoban-Hard/handmade_soko042.lp-14-1747.sm.gz,900,577.848,900
ASPExtended/hardwareASP/hard_inst_12_8_10087.gr.gz,900,900,65.4915
ASPExtended/BoundedSpanningTree/122_rand_35_250_1700164416_0.gph.lp.gz,22.0341,0.525703,4.60126
ASPExtended/ASP-Comp-2007-Lparse/SLparse/searchTest-plain/stp_sequence3-ss2.gz,2.97053,1.61399,3.33145
ASPExtended/HamiltonClumpy/21/clumpy-21x21_05.sm.gz,900,2.1163,1.83452
ASPExtended/Fastfood/a5.10.10.sm.gz,0.325961,0.014459,0.116345
ASPExtended/ASP-Comp-2009-Lparse/CompMazeGeneration/maze-generation-width=12-height=12-density=0.01-run=5.gz,900,0.12273,0.0867921
ASPExtended/planning/dispose/p03_06.lp-16-2926.sm.gz,900,643.634,42.5436
ASPExtended/SocialGolfer/csp010-SocialGolfer_w5_g3_s3.dlv.dat.lp.lp.gz,900,46.2742,39.8795
ASPExtended/hardwareASP/hard_inst_12_7_7410.gr.gz,900,900,154.66
ASPExtended/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727042043_0.gph.gz,900,1.32759,7.96131
ASPExtended/planning/dispose/p04_07.lp-17-1971.sm.gz,900,167.753,22.2757
ASPExtended/SocialGolfer/csp010-SocialGolfer_w8_g4_s5.dlv.dat.lp.lp.gz,900,900,518.368
ASPExtended/ASP-Comp-2009-Lparse/CompHanoi/mgs_towers-hanoi.127_7.gz,900,19.359,5.47146
ASPExtended/laby/laby_21_21_04.lp.gz,12.1775,2.3092,23.9811
ASPExtended/ASP-Comp-2009-Lparse/CompHamiltonianPath/gryzzles.16.lp.gz,0.0920461,0.0259509,0.0910249
